,Row,City,Country,Latitude,Longitude,Temperature(F),Humidity(%),Cloudiness(%),Wind Speed(mph)
39,39,Punta Arenas,CL,-53.16,-70.91,59,62,0,24.16
40,40,Faanui,PF,-16.48,-151.75,81.87,100,64,14.43
41,41,Luderitz,NA,-26.65,15.16,72.02,52,0,25.05
42,42,Albany,US,42.65,-73.75,20.57,61,90,8.05
43,43,Sobolevo,RU,54.43,31.9,25.94,88,80,13.31
44,44,Christchurch,NZ,-43.53,172.64,62.6,33,0,10.29
45,45,Cabo San Lucas,MX,22.89,-109.91,64.4,39,40,9.17
46,46,Nanortalik,GL,60.14,-45.24,26.52,92,76,31.43
47,47,Chokurdakh,RU,70.62,147.9,-36.53,0,56,3.36
48,48,Pandan,PH,11.72,122.09,80.34,96,8,20.92
49,49,Ancud,CL,-41.87,-73.83,66.2,63,0,5.82
50,50,Loei,TH,17.49,101.72,72.02,68,56,3.13
51,51,Suluq,LY,31.67,20.25,63.02,30,92,11.63
53,53,East London,ZA,-33.02,27.91,69.8,56,0,26.4
54,54,Chicama,PE,-7.84,-79.15,71.6,83,0,6.93
55,55,Koratagere,IN,13.52,77.24,69.8,35,12,5.82
57,57,Castro,CL,-42.48,-73.76,66.2,63,0,5.82
58,58,Ahipara,NZ,-35.17,173.16,67.02,97,92,8.28
59,59,Butaritari,KI,3.07,172.79,84.26,100,88,9.17
60,60,Yellowknife,CA,62.45,-114.38,-13.01,75,90,12.75
61,61,Bima,ID,-8.45,118.73,75.75,100,76,2.35
62,62,Carballo,ES,43.21,-8.69,51.75,100,75,2.24
63,63,Barrow,AR,-38.31,-60.23,77.82,55,0,8.05
64,64,Sretensk,RU,52.24,117.7,-1.43,64,36,4.36
65,65,Mar del Plata,AR,-46.43,-67.52,83.18,30,0,19.01
66,66,Leshukonskoye,RU,64.9,45.76,8.79,78,68,5.03
67,67,Port Alfred,ZA,-33.59,26.89,69.23,74,0,21.47
68,68,Candolim,IN,15.52,73.76,80.6,69,20,5.82
69,69,Dikson,RU,73.51,80.55,10.05,100,56,4.92
70,70,Hambantota,LK,6.12,81.12,75.2,100,40,2.24
71,71,Howard Springs,AU,-12.5,131.05,78.8,94,75,2.24
72,72,Bambous Virieux,MU,-20.34,57.76,84.2,70,75,11.41
73,73,Vardo,US,39.62,-77.74,35.08,72,90,4.7
74,74,San Quintin,PH,17.54,120.52,66.44,86,0,2.35
75,75,Taksimo,RU,56.36,114.84,6.32,43,32,3.91
76,76,Cherskiy,RU,68.75,161.3,-27.75,44,44,6.15
77,77,Fort Nelson,CA,58.81,-122.69,-4.01,83,90,3.13
78,78,Graham,US,36.07,-79.4,44.64,70,90,6.93
79,79,Linares,CL,-35.85,-71.6,81.02,39,0,3.24
80,80,Carnarvon,ZA,-30.97,22.13,77.55,7,0,10.51
81,81,Whitehorse,CA,60.72,-135.06,5,77,90,1.68
82,82,Nantucket,US,41.28,-70.1,35.35,64,5,10.29
83,83,Moussoro,TD,13.64,16.49,89.48,18,0,8.16
84,84,Diamantino,BR,-14.4,-56.44,80.07,91,88,5.93
85,85,Mahebourg,MU,-20.41,57.7,84.2,70,75,11.41
86,86,Upernavik,GL,72.79,-56.15,-4.08,100,24,13.98
87,87,Talnakh,RU,69.49,88.39,12.12,78,68,14.88
88,88,Hithadhoo,MV,-0.6,73.08,80.75,100,88,5.59
89,89,Jian,IN,25.65,87.89,61.04,67,0,7.16
90,90,Longyearbyen,NO,78.22,15.63,-2.21,70,75,6.93
92,92,Tuktoyaktuk,CA,69.44,-133.03,-4.01,76,20,14.99
93,93,Bubaque,GW,11.28,-15.83,84.08,80,0,17.67
94,94,Coquimbo,CL,-29.95,-71.34,62.6,77,90,4.7
95,95,Geraldton,CA,49.72,-86.95,-38.21,65,5,3.36
96,96,Bredasdorp,ZA,-34.53,20.04,73.4,35,0,14.99
97,97,Namibe,AO,-15.19,12.15,80.6,69,40,14.99
99,99,Tuatapere,NZ,-46.13,167.69,51.59,100,76,26.96
100,100,Bluff,AU,-23.58,149.07,73.14,69,0,8.61
101,101,Camopi,GF,3.17,-52.33,77.42,93,76,2.91
102,102,Kapaa,US,22.08,-159.32,68.74,70,90,10.29
103,103,Chumikan,RU,54.72,135.31,-16.86,49,0,4.03
104,104,Bandarbeyla,SO,9.49,50.81,76.61,100,8,13.87
105,105,Tomatlan,MX,19.93,-105.25,68.64,73,24,3.13
106,106,Beringovskiy,RU,63.05,179.32,2.27,100,92,7.05
107,107,Kilimatinde,TZ,-5.75,34.82,72.69,91,80,3.8
108,108,Najran,SA,17.54,44.22,69.8,28,90,6.93
109,109,Yar-Sale,RU,66.83,70.83,2.72,85,0,16.33
110,110,Xingyi,CN,24.19,102.82,44.97,85,0,5.26
111,111,Hamilton,BM,32.3,-64.78,68,64,20,5.82
112,112,Nikolskoye,RU,59.7,30.79,21.2,85,75,6.71
113,113,Touros,BR,-5.2,-35.46,87.8,62,75,13.87
114,114,Calbuco,CL,-41.77,-73.13,55.4,93,90,6.93
115,115,Shamkhal,RU,43.06,47.33,30.2,74,8,2.24
116,116,Yumen,CN,40.29,97.04,17.39,91,80,6.82
117,117,Pevek,RU,69.7,170.27,-18.53,100,44,8.95
119,119,Hobart,AU,-42.88,147.33,62.6,55,20,11.41
121,121,Satuk,TR,41.23,32.38,50,61,40,3.36
122,122,Hovd,NO,63.83,10.7,28.4,92,75,21.92
123,123,Tezu,IN,27.93,96.16,48.62,69,8,1.68
124,124,Biak,ID,-0.91,122.88,77.69,100,20,2.91
125,125,Salalah,OM,17.01,54.1,78.8,61,0,5.82
126,126,Altamira,BR,-3.2,-52.21,82.4,74,75,8.05
127,127,Avarua,CK,-21.21,-159.78,78.8,94,40,4.7
128,128,Skibbereen,IE,51.55,-9.27,46.4,87,75,4.7
129,129,Jiuquan,CN,39.73,98.49,11.36,80,68,2.13
130,130,Seoul,KR,37.57,126.98,33.33,86,75,1.12
131,131,Poum,MK,41.28,20.71,42.8,70,75,2.24
132,132,Arraial do Cabo,BR,-22.97,-42.02,87.91,66,0,13.87
133,133,Ponta do Sol,BR,-20.63,-46,85.16,70,0,8.61
134,134,Teguldet,RU,57.31,88.17,23.64,82,80,8.16
135,135,Gat,SN,14.69,-16.54,80.6,25,0,18.34
136,136,Devils Lake,US,48.11,-98.87,-5.89,76,90,2.91
137,137,Coihaique,CL,-45.58,-72.07,69.58,46,40,8.05
138,138,Kavieng,PG,-2.57,150.8,78.27,100,92,18.79
139,139,Port Elizabeth,US,39.31,-74.98,34.92,81,90,6.93
140,140,Saint-Francois,FR,46.42,3.91,44.6,56,0,4.03
141,141,Srednekolymsk,RU,67.46,153.71,-34.37,0,8,2.13
142,142,Dauphin,CA,51.15,-100.04,-22.01,74,1,8.05
143,143,Launceston,AU,-41.43,147.14,55.4,76,0,9.17
144,144,Iqaluit,CA,63.75,-68.52,-23.81,67,75,20.8
145,145,Tochio,JP,37.47,139,20.81,93,24,1.57
146,146,Ugoofaaru,MV,5.67,73,80.66,100,0,7.27
147,147,Tera,CY,34.97,32.42,59,72,75,4.7
148,148,Vanimo,PG,-2.67,141.3,83.36,100,92,5.93
149,149,Balaguer,ES,41.79,0.81,35.6,100,90,5.82
150,150,Piacabucu,BR,-10.41,-36.43,85.25,71,36,10.51
151,151,Sao Joao da Barra,BR,-21.64,-41.05,91.4,46,0,11.41
152,152,Gewane,ET,10.16,40.66,84.35,30,0,5.59
153,153,Ellenabad,IN,29.45,74.66,56.85,86,56,5.82
154,154,Verkhnevilyuysk,RU,63.45,120.31,-21.95,32,76,6.6
155,155,Fayaoue,NC,-20.65,166.53,78.27,100,44,19.46
156,156,Chapais,CA,49.78,-74.86,-36.41,65,1,3.36
157,157,Lima,PE,-12.06,-77.04,71.6,88,90,4.7
158,158,Kysyl-Syr,RU,63.9,122.77,-33.6,0,64,8.61
159,159,Hermanus,ZA,-34.42,19.24,67.43,54,0,5.93
160,160,Cockburn Town,TC,21.46,-71.14,77.87,100,44,13.2
161,161,Cuiluan,CN,47.72,128.65,-1.97,68,48,4.92
162,162,Aswan,EG,24.09,32.9,63.65,49,0,3.47
163,163,Neiafu,TO,-18.65,-173.98,80.6,88,75,5.37
164,164,Alihe,CN,50.57,123.73,-2.28,56,0,7.38
165,165,Pali,IN,25.77,73.33,65.94,47,44,4.14
166,166,Porto Belo,BR,-27.15,-48.54,86.68,66,0,9.17
167,167,Umm Lajj,SA,25.02,37.27,71.57,70,8,10.29
169,169,Kidal,ML,18.44,1.41,77.33,19,12,11.41
171,171,Vila,IT,45.18,8.4,37.29,92,75,2.24
172,172,Keti Bandar,PK,24.14,67.45,73.5,91,0,6.6
173,173,Half Moon Bay,US,37.46,-122.43,53.6,82,90,3.36
174,174,Atar,MR,20.52,-13.05,73.55,24,0,10.74
175,175,Antalaha,MG,-14.9,50.28,75.89,100,92,10.74
176,176,Airai,TL,-8.93,125.41,70.4,94,24,0.89
177,177,Bolshoy Kamen,RU,43.12,132.36,3.2,59,88,1.9
178,178,Sangar,RU,63.92,127.47,-39.77,0,20,6.15
179,179,Tasiilaq,GL,65.61,-37.64,23,85,0,33.33
180,180,Meadow Lake,CA,54.13,-108.44,-29.21,66,40,6.93
181,181,Hobyo,SO,5.35,48.53,78.09,76,20,16.44
182,182,Senanga,ZM,-16.1,23.3,72.87,97,68,6.15
183,183,Ribeira Grande,PT,38.52,-28.7,64.4,77,75,3.36
184,184,Ayer Molek,MY,2.2,102.32,80.6,78,75,4.7
185,185,Flinders,AU,-34.58,150.85,64.4,100,90,4.7
186,186,Guarapari,BR,-20.67,-40.5,91.4,52,20,14.99
187,187,Walvis Bay,NA,-22.95,14.51,69.8,60,0,12.75
188,188,Khani,GE,41.96,42.96,44.6,52,40,5.82
189,189,Iquique,CL,-20.22,-70.14,75.2,53,0,14.99
190,190,Hofn,IS,64.25,-15.21,41.51,99,92,20.24
191,191,Waipawa,NZ,-39.94,176.59,68.33,69,12,20.92
192,192,Kodiak,US,39.95,-94.76,14.47,61,90,17.22
193,193,Kahului,US,20.89,-156.47,67.6,90,75,10.29
194,194,Mazatlan,MX,23.22,-106.42,59,100,75,4.7
195,195,Raudeberg,NO,61.99,5.14,34.36,80,40,5.82
196,196,Mogadishu,SO,2.04,45.34,78.86,100,32,20.92
199,199,Karratha,AU,-20.74,116.85,86.55,50,0,8.39
200,200,Ulaanbaatar,MN,47.92,106.92,-9.41,76,0,4.47
201,201,Salinas,US,36.67,-121.66,49.08,93,1,4.7
202,202,Souillac,FR,45.6,-0.6,47.95,87,68,10.29
203,203,Santa Engracia,ES,41.94,-1.32,50.92,94,24,10.29
204,204,Yerbogachen,RU,61.28,108.01,8.3,78,88,5.37
205,205,Ucluelet,CA,48.94,-125.55,38.94,100,92,6.93
206,206,Georgetown,GY,6.8,-58.16,83.37,74,75,16.11
207,207,San Pedro,AR,-33.68,-59.66,75.57,71,0,7.49
208,208,Victoria,BN,5.28,115.24,81.5,83,75,9.17
209,209,Asekeyevo,RU,53.57,52.8,23.1,91,92,8.84
210,210,Saint-Philippe,CA,45.36,-73.48,-8.9,57,90,12.75
211,211,Sehithwa,BW,-20.47,22.7,88.31,61,20,5.37
212,212,Yomou,GN,7.57,-9.26,82.64,90,8,2.57
214,214,Quelimane,MZ,-17.88,36.89,84.2,74,75,5.82
216,216,Pisco,PE,-13.71,-76.2,71.6,30,0,8.05
217,217,Mackay,CA,53.65,-115.58,4.1,84,90,11.41
218,218,Arvika,SE,59.65,12.59,19.89,76,24,4.7
219,219,Kieta,PG,-6.22,155.63,78.27,100,88,6.15
220,220,Sabinopolis,BR,-18.67,-43.08,83.54,61,0,3.91
221,221,Jember,ID,-8.17,113.7,76.74,100,80,2.57
222,222,Ayan,TR,40.67,33.6,24.09,93,56,2.35
223,223,La Ronge,CA,55.1,-105.3,-36.41,73,5,9.17
224,224,Wasilla,US,61.58,-149.44,11.32,92,90,3.36
225,225,Ilulissat,GL,69.22,-51.1,6.8,84,75,8.05
226,226,Pangnirtung,CA,66.15,-65.72,-34.19,0,0,5.82
227,227,Sambava,MG,-14.27,50.17,79.17,100,92,15.99
228,228,Rock Sound,BS,24.9,-76.2,74.72,100,0,11.74
229,229,Bulgan,MN,48.81,103.53,-9.08,29,0,4.92
230,230,Provideniya,RU,64.42,-173.23,18.65,100,64,6.38
233,233,Richards Bay,ZA,-28.77,32.06,70.04,94,92,18.45
235,235,Kletnya,RU,53.39,33.22,26.6,73,0,11.18
236,236,Shumskiy,RU,54.83,99.13,-1.25,63,12,2.24
237,237,Dawlatabad,AF,36.41,64.91,41.06,97,92,9.06
238,238,Quang Ngai,VN,15.12,108.8,60.32,95,0,2.24
239,239,San Patricio,PY,-26.98,-56.83,71.57,84,56,6.6
240,240,Manokwari,ID,-0.87,134.08,80.79,100,68,0.56
242,242,Oktyabrskoye,RU,56.73,85.44,21.2,67,0,15.66
243,243,Sao Miguel do Araguaia,BR,-13.28,-50.16,90.29,79,32,4.59
245,245,Taybad,IR,34.74,60.78,36.65,84,76,6.93
246,246,Chernyshevskiy,RU,63.01,112.47,0.47,71,48,4.92
247,247,Cuajinicuilapa,MX,16.47,-98.41,77.42,98,24,4.59
249,249,Sitka,US,37.17,-99.65,19.19,69,8,20.47
250,250,Tandil,AR,-37.33,-59.14,71.12,90,8,7.72
251,251,Lebu,ET,8.96,38.73,68.96,28,0,7.16
252,252,Camacha,PT,33.08,-16.33,62.6,59,75,12.75
253,253,Broken Hill,AU,-31.97,141.45,80.6,19,20,16.11
254,254,Henties Bay,NA,-22.12,14.28,71.75,73,0,8.16
255,255,Mpigi,UG,0.23,32.32,77,69,75,11.41
256,256,Severo-Kurilsk,RU,50.68,156.12,28.05,100,88,7.94
257,257,Diplo,PK,24.47,69.59,67.7,58,0,9.62
258,258,College,US,64.86,-147.8,0.52,77,90,2.68
259,259,Vammala,FI,61.34,22.91,25.86,92,90,5.82
260,260,Antofagasta,CL,-23.65,-70.4,69.8,60,0,9.17
261,261,Laguna,MX,27.52,-110.01,51.8,76,5,5.82
262,262,Arkhangelsk,RU,64.54,40.54,5,92,90,6.71
263,263,Saint George,GR,39.45,22.34,55.53,76,20,5.82
264,264,Fortuna,ES,38.18,-1.13,60.76,33,0,8.05
265,265,Pahrump,US,36.21,-115.98,36.95,78,1,3.36
266,266,Isla Vista,US,34.41,-119.86,45.36,100,1,4.7
267,267,Aasiaat,GL,68.71,-52.87,13.52,100,76,6.15
268,268,Chuy,UY,-33.69,-53.46,71.52,91,20,18.79
269,269,Maiduguri,NG,11.84,13.15,92.27,16,8,8.39
271,271,Kanigiri,IN,15.41,79.51,70.49,88,0,6.82
272,272,Aksu,KZ,52.04,76.93,26.6,86,90,6.71
273,273,Kavaratti,IN,10.57,72.64,81.87,100,0,4.36
274,274,Lazi,HR,45.57,14.64,41,56,0,12.75
275,275,Yuxia,CN,34.06,108.63,26.6,53,20,4.47
276,276,Clyde River,CA,70.47,-68.59,-18.41,75,20,5.82
277,277,Torbay,CA,47.66,-52.73,30.2,92,90,19.46
278,278,Halifax,CA,44.65,-63.58,20.16,45,20,17.22
279,279,Kushima,JP,31.5,131.29,50.19,100,76,6.38
280,280,Ylivieska,FI,64.07,24.53,12.8,89,68,2.68
281,281,Coahuayana,MX,18.62,-100.35,65.04,60,36,1.68
282,282,Kaitangata,NZ,-46.28,169.85,51.14,80,68,31.99
283,283,Katsuura,JP,33.93,134.5,42.8,70,40,9.17
284,284,Mount Gambier,AU,-37.83,140.78,55.4,87,0,1.12
285,285,Praia da Vitoria,PT,38.73,-27.07,59,93,75,9.51
286,286,Sola,NO,58.89,5.65,36.63,100,20,8.05
287,287,Cidreira,BR,-30.17,-50.22,71.21,100,100,18.01
289,289,Vilyuysk,RU,63.75,121.63,-24.29,36,68,6.71
290,290,Talaya,RU,55.79,84.89,21.2,67,0,15.66
292,292,San Angelo,US,31.46,-100.44,37.94,61,1,14.99
293,293,Codrington,AU,-28.95,153.24,72.19,88,90,4.7
294,294,Constitucion,MX,23.99,-104.67,33.8,80,75,5.14
295,295,Havoysund,NO,71,24.66,24.8,68,75,25.28
296,296,Pochutla,MX,15.74,-96.47,73.4,64,5,5.82
297,297,Luoyang,CN,34.66,112.42,21.71,72,0,3.58
298,298,Ponta Delgada,PT,37.73,-25.67,62.6,93,75,11.41
300,300,Ishigaki,JP,24.34,124.16,72.56,100,8,6.93
301,301,Shimoda,JP,34.7,138.93,53.39,100,0,20.8
303,303,Saraza,PH,8.74,117.78,76.34,96,0,5.03
304,304,Rio Grande,BR,-32.03,-52.1,68,94,90,9.17
305,305,Sorland,NO,67.67,12.69,35.07,100,68,9.62
306,306,Ostrovnoy,RU,68.05,39.51,-7.23,74,8,4.14
307,307,Rio Gallegos,AR,-51.62,-69.22,71.6,35,0,12.75
308,308,Fare,PF,-16.7,-151.02,82.01,100,80,13.65
309,309,Pacific Grove,US,36.62,-121.92,49.08,79,1,6.93
310,310,Makat,KZ,47.65,53.35,15.27,82,24,8.61
311,311,Pitimbu,BR,-7.47,-34.81,89.6,55,40,13.87
312,312,Viga,BR,-22.74,-43.44,93.97,63,0,3.36
313,313,Koson,UZ,39.04,65.59,39.2,69,90,16.11
314,314,Dingle,PH,11,122.67,76.7,74,48,14.76
315,315,Izhma,RU,65.01,53.91,2.36,85,56,4.14
316,316,Caravelas,BR,-17.73,-39.27,80.79,100,8,14.2
318,318,Kudahuvadhoo,MV,2.67,72.89,80.7,100,68,6.93
319,319,Deputatskiy,RU,69.3,139.9,-62.85,0,0,2.68
320,320,Guangyuan,CN,32.43,105.86,31.65,72,68,2.13
322,322,Tra Vinh,VN,9.93,106.35,79.76,76,44,11.97
323,323,Isangel,VU,-19.55,169.27,78.32,100,80,19.8
325,325,Payo,ID,-3.75,103.64,78.86,79,76,5.14
328,328,Mnogovershinnyy,RU,53.94,139.92,-13.53,41,0,2.24
329,329,Lattes,FR,43.57,3.9,51.26,46,0,4.7
330,330,Nuuk,GL,64.17,-51.74,26.6,63,75,2.24
333,333,Asahikawa,JP,43.76,142.37,20.9,87,80,2.57
334,334,Rawson,AR,-43.3,-65.11,94.47,17,0,17.45
335,335,Tual,ID,-5.67,132.75,83.81,98,88,11.07
336,336,Port Keats,AU,-14.25,129.55,81.56,94,88,5.59
337,337,Boa Vista,BR,2.82,-60.67,87.8,52,40,18.34
338,338,Lompoc,US,34.64,-120.46,47.97,100,1,4.7
339,339,Znamenskoye,RU,57.13,73.82,16.04,84,64,4.81
341,341,Khasan,RU,42.43,130.64,22.34,80,44,11.41
342,342,Port Lincoln,AU,-34.72,135.86,66.17,89,80,12.97
343,343,Qaanaaq,GL,77.48,-69.36,-22.71,64,0,12.19
344,344,Turayf,SA,31.68,38.65,50,53,0,2.24
345,345,Bonavista,CA,48.65,-53.11,31.79,94,92,25.84
346,346,Xining,CN,36.62,101.77,2.81,76,0,2.68
347,347,Cortez,US,37.35,-108.58,15.98,80,1,6.93
348,348,Samarai,PG,-10.62,150.67,77.42,100,88,6.15
349,349,Jasper,US,33.83,-87.28,58.62,106,92,13.2
350,350,Las Palmas,PE,-6.53,-76.35,62.6,290,75,0.89
351,351,Broome,GB,52.47,1.45,40.51,75,0,12.75
352,352,Nyurba,RU,63.29,118.35,-11.73,75,80,4.81
353,353,Nicoya,CR,10.15,-85.45,77,65,0,4.7
354,354,Illapel,CL,-31.63,-71.17,66.17,88,0,3.13
355,355,Klaksvik,FO,62.23,-6.59,39.2,80,8,10.29
356,356,Erenhot,CN,43.65,111.97,-1.7,64,0,6.71
357,357,Kasongo-Lunda,CD,-6.48,16.82,82.59,67,24,3.02
358,358,Krivosheino,RU,57.34,83.93,20.94,89,80,9.62
359,359,Ngunguru,NZ,-35.62,174.5,68.51,97,0,7.49
360,360,Rylsk,RU,51.57,34.68,18.15,80,8,9.17
361,361,Sao Filipe,CV,14.9,-24.5,73.19,90,0,19.8
362,362,Naze,NG,5.43,7.07,95,47,75,5.82
363,363,Spasskoye,RU,55.86,45.7,12.39,79,0,5.59
364,364,Toma,JP,43.82,142.6,16.35,80,68,2.68
365,365,Baykit,RU,61.68,96.39,14.24,79,68,11.41
366,366,Nishihara,JP,35.74,139.53,38.14,48,75,5.82
367,367,Imbituba,BR,-28.24,-48.67,84.2,70,75,3.36
368,368,Salinopolis,BR,-0.61,-47.36,80.66,100,44,10.85
369,369,Carutapera,BR,-1.2,-46.02,83.22,84,56,8.28
371,371,Maragogi,BR,-9.01,-35.22,83.04,87,44,7.61
372,372,Chiredzi,ZW,-21.05,31.67,92.54,48,0,12.75
373,373,Leeton,AU,-34.55,146.4,76.17,31,0,10.29
374,374,Portland,US,45.52,-122.67,44.89,92,90,4.7
375,375,Dourbali,TD,11.81,15.86,94.7,19,0,4.81
376,376,Bethel,US,60.79,-161.76,1.72,86,1,9.17
377,377,Tiksi,RU,71.64,128.87,-47.06,0,8,3.24
380,380,Libreville,GA,0.39,9.45,86,70,20,6.93
381,381,Beloha,MG,-25.17,45.06,87.72,52,80,9.17
382,382,Usinsk,RU,66,57.56,-2.28,71,24,2.46
383,383,Tubuala,PA,9.52,-79.03,86,62,20,8.05
385,385,Ambo,ET,8.98,37.86,73.14,21,76,1.57
386,386,Svetlogorsk,RU,53.14,59.15,24.8,79,75,8.95
387,387,Iguape,BR,-24.7,-47.56,92.72,68,0,4.14
388,388,Nouadhibou,MR,20.93,-17.03,71.6,35,0,16.11
389,389,Katherine,AU,-14.47,132.26,78.8,88,76,3.36
390,390,Guerrero Negro,MX,27.97,-114.04,55.64,72,0,11.18
391,391,Ust-Koksa,RU,50.27,85.62,-7.82,65,20,1.9
392,392,Gallneukirchen,AT,48.35,14.42,32,90,0,9.17
393,393,Port Hardy,CA,50.7,-127.42,40.79,100,92,16.22
394,394,Visby,SE,57.64,18.3,33.8,86,0,13.87
395,395,Lufilufi,WS,-13.87,-171.6,84.3,100,32,14.2
397,397,Igarka,RU,67.47,86.57,15.05,85,68,12.97
398,398,Muros,ES,42.77,-9.06,51.78,100,90,11.41
399,399,Taitung,TW,22.76,121.15,64.4,93,90,5.82
401,401,Shikarpur,PK,27.96,68.63,64.4,59,20,2.24
402,402,Vao,EE,59.1,26.19,24.77,93,76,8.16
404,404,Ust-Maya,RU,60.42,134.54,-40.49,0,44,2.57
405,405,Jacareacanga,BR,-6.22,-57.76,82.37,87,36,2.91
406,406,Chalchihuites,MX,23.48,-103.88,39.53,76,8,2.91
407,407,Saint-Augustin,FR,44.83,-0.61,52.59,71,48,9.17
408,408,Vila Velha,BR,-3.71,-38.6,77,94,90,6.93
410,410,Changping,CN,40.22,116.23,37.4,19,0,11.18
411,411,Agadir,MA,30.42,-9.58,68,49,20,8.05
413,413,Machachi,EC,-0.51,-78.57,57.22,82,40,14.99
414,414,Buchanan,LR,5.88,-10.05,89.6,66,75,8.05
415,415,Koyelga,RU,54.65,60.9,6.99,68,8,4.14
417,417,Narsaq,GL,60.91,-46.05,21.2,85,75,16.11
418,418,Wagar,US,31.44,-87.99,63.6,97,92,11.41
419,419,Westport,IE,53.8,-9.52,41,100,75,1.12
420,420,Kjollefjord,NO,70.95,27.35,13.61,91,76,3.58
421,421,Tevaitoa,PF,-16.78,-151.5,82.01,100,80,13.65
422,422,Pachino,IT,36.72,15.09,59,62,20,6.93
423,423,Ribas do Rio Pardo,BR,-20.45,-53.76,84.71,80,36,8.61
424,424,Sao Francisco do Sul,BR,-26.24,-48.64,87.8,79,20,8.05
425,425,Poso,ID,-1.4,120.75,79.04,100,76,2.68
426,426,Koulamoutou,GA,-1.13,12.47,88.85,50,20,3.24
427,427,Porto Torres,IT,40.84,8.4,51.8,81,40,1.12
428,428,Vysokogornyy,RU,50.1,139.13,-21.32,29,12,2.35
429,429,Makakilo City,US,21.35,-158.09,70.75,78,1,5.82
430,430,Moron,VE,10.49,-68.2,77.78,68,0,2.8
431,431,Lahij,YE,13.06,44.88,75.89,66,24,5.48
432,432,Kisangani,CD,0.52,25.21,89.03,53,12,1.34
433,433,Russell,AR,-33.01,-68.8,73.4,60,0,9.17
434,434,Chulman,RU,56.84,124.9,-32.16,0,0,2.46
435,435,Port Macquarie,AU,-31.43,152.91,74.97,88,90,10.29
436,436,Yatou,CM,3.63,9.81,89.6,66,40,9.17
437,437,Oni,GE,42.59,43.44,18.87,81,8,1.68
438,438,Soyo,AO,-6.13,12.37,87.8,66,40,8.05
439,439,Norton,ZW,-17.87,30.7,87.27,36,80,8.39
440,440,Kirakira,SB,-10.46,161.92,81.92,100,80,4.81
441,441,Mehkerek,HU,46.78,21.45,34.63,97,0,5.82
442,442,Kuminskiy,RU,58.67,66.57,15.95,83,36,8.61
443,443,Esperance,TT,10.24,-61.45,82.4,61,20,13.87
444,444,Wadena,CA,51.95,-103.8,-38.01,0,8,3.13
445,445,Helena,US,46.59,-112.04,24.98,84,75,5.37
446,446,Killybegs,IE,54.63,-8.45,44.64,93,90,2.24
447,447,Lorengau,PG,-2.02,147.27,75.8,100,92,15.99
448,448,Tarrega,ES,41.65,1.14,44.71,100,90,5.82
449,449,Miles City,US,46.41,-105.84,5,86,1,5.82
450,450,Saquena,PE,-4.67,-73.52,73.14,100,92,4.25
452,452,Alofi,NU,-19.06,-169.92,77,94,48,10.29
453,453,Tete,MZ,-16.16,33.59,91.4,59,40,8.05
455,455,San Carlos de Bariloche,AR,-41.13,-71.31,77,14,0,2.01
456,456,Budhlada,IN,29.93,75.55,53.93,79,32,4.47
